source,target,ÀàĞÍ
780625,8549,directed
816890,8549,directed
840402,8549,directed
895136,8549,directed
922911,8549,directed
39013,8570,directed
305363,8570,directed
563834,8570,directed
579839,8570,directed
690456,8570,directed
781766,8570,directed
808944,8570,directed
855836,8570,directed
178906,8591,directed
219203,8591,directed
572737,8591,directed
583618,8591,directed
798606,8591,directed
803026,8591,directed
808944,8591,directed
855836,8591,directed
859509,8591,directed
11754,8828,directed
22257,8828,directed
31380,8828,directed
81403,8828,directed
137084,8828,directed
159433,8828,directed
160690,8828,directed
177454,8828,directed
208774,8828,directed
228099,8828,directed
235923,8828,directed
237205,8828,directed
246960,8828,directed
290590,8828,directed
302106,8828,directed
354722,8828,directed
390477,8828,directed
477875,8828,directed
484145,8828,directed
495338,8828,directed
545074,8828,directed
572499,8828,directed
776093,8828,directed
790833,8828,directed
820434,8828,directed
874289,8828,directed
100160,9084,directed
121590,9084,directed
138699,9084,directed
150629,9084,directed
253142,9084,directed
754032,9084,directed
840402,9084,directed
567624,9218,directed
590441,9218,directed
1433,9437,directed
133057,9437,directed
161808,9437,directed
162269,9437,directed
162487,9437,directed
227088,9437,directed
270491,9437,directed
286115,9437,directed
340446,9437,directed
368112,9437,directed
495861,9437,directed
749476,9437,directed
750131,9437,directed
834108,9437,directed
858375,9437,directed
112789,9441,directed
167320,9441,directed
178122,9441,directed
420133,9441,directed
572737,9441,directed
820115,9441,directed
825251,9441,directed
100160,9490,directed
393345,9490,directed
564333,9490,directed
577627,9490,directed
894465,9490,directed
899530,9490,directed
23290,9680,directed
170690,9680,directed
211758,9680,directed
242966,9680,directed
490416,9680,directed
494537,9680,directed
641450,9680,directed
748773,9680,directed
7731,9787,directed
7920,9787,directed
88180,9787,directed
112789,9787,directed
134729,9787,directed
543595,9787,directed
572737,9787,directed
750742,9787,directed
782768,9787,directed
813946,9787,directed
167320,9970,directed
178122,9970,directed
813946,9970,directed
863790,9970,directed
12472,10412,directed
13393,10412,directed
20050,10412,directed
36106,10412,directed
38490,10412,directed
66915,10412,directed
77175,10412,directed
96964,10412,directed
107139,10412,directed
128099,10412,directed
178536,10412,directed
191947,10412,directed
265440,10412,directed
307461,10412,directed
313284,10412,directed
317417,10412,directed
745964,10412,directed
798792,10412,directed
988440,10412,directed
92942,10538,directed
127337,10538,directed
183858,10538,directed
217622,10538,directed
238115,10538,directed
316834,10538,directed
531986,10538,directed
617196,10538,directed
645474,10538,directed
664849,10538,directed
809266,10538,directed
852855,10538,directed
62823,10982,directed
91650,10982,directed
202545,10982,directed
385611,10982,directed
418740,10982,directed
490004,10982,directed
754032,10982,directed
960690,10982,directed
335,11046,directed
158309,11046,directed
225930,11046,directed
492331,11046,directed
680476,11046,directed
792530,11046,directed
15318,11052,directed
81561,11052,directed
207127,11052,directed
214162,11052,directed
251375,11052,directed
300749,11052,directed
396676,11052,directed
522768,11052,directed
605375,11052,directed
792370,11052,directed
798248,11052,directed
944084,11052,directed
18258,11210,directed
169536,11242,directed
744548,11242,directed
740833,11506,directed
44994,11608,directed
129547,11608,directed
205180,11608,directed
313284,11608,directed
354105,11608,directed
369270,11608,directed
611102,11608,directed
617844,11608,directed
625739,11608,directed
942529,11608,directed
112789,11664,directed
46861,11707,directed
66570,11707,directed
66915,11707,directed
67528,11707,directed
211758,11707,directed
240865,11707,directed
267354,11707,directed
642542,11707,directed
674662,11707,directed
743929,11707,directed
754032,11707,directed
809058,11707,directed
927627,11707,directed
165011,11754,directed
175286,11754,directed
237205,11754,directed
325401,11754,directed
473554,11754,directed
490549,11754,directed
661524,11754,directed
674150,11754,directed
686897,11754,directed
936190,11754,directed
68780,11910,directed
102399,11910,directed
175196,11910,directed
184187,11910,directed
201760,11910,directed
248392,11910,directed
341137,11910,directed
354105,11910,directed
7448,12128,directed
127063,12128,directed
155563,12128,directed
308871,12128,directed
390477,12128,directed
478246,12128,directed
509356,12128,directed
651156,12128,directed
762731,12128,directed
767016,12128,directed
865016,12128,directed
117844,12180,directed
200791,12180,directed
207127,12180,directed
320761,12180,directed
396676,12180,directed
410219,12180,directed
471156,12180,directed
573100,12180,directed
791483,12180,directed
792370,12180,directed
944084,12180,directed
46861,12472,directed
66915,12472,directed
238495,12472,directed
489303,12472,directed
489676,12472,directed
493122,12472,directed
543055,12472,directed
596922,12472,directed
631774,12472,directed
751019,12472,directed
754032,12472,directed
925181,12472,directed
237205,12491,directed
661524,12491,directed
664849,12491,directed
746666,12491,directed
178014,12570,directed
573978,12570,directed
152023,12595,directed
184043,12595,directed
16759,12644,directed
39656,12644,directed
160198,12644,directed
172350,12644,directed
301955,12644,directed
770629,12644,directed
5953,12654,directed
47421,12654,directed
84209,12654,directed
98465,12654,directed
106298,12654,directed
139026,12654,directed
165663,12654,directed
193320,12654,directed
246611,12654,directed
260206,12654,directed
299471,12654,directed
315403,12654,directed
604852,12654,directed
673208,12654,directed
744548,12654,directed
745241,12654,directed
771438,12654,directed
897214,12654,directed
925852,12654,directed
66915,12877,directed
34899,12972,directed
51376,12972,directed
132710,12972,directed
167287,12972,directed
187581,12972,directed
219483,12972,directed
290812,12972,directed
364399,12972,directed
531986,12972,directed
617196,12972,directed
809357,12972,directed
838272,12972,directed
842802,12972,directed
895136,12972,directed
990384,12972,directed
71970,13038,directed
90389,13038,directed
673114,13038,directed
781172,13038,directed
2411,13101,directed
81017,13101,directed
138699,13101,directed
147638,13101,directed
186927,13101,directed
300245,13101,directed
617196,13101,directed
675495,13101,directed
826364,13101,directed
840000,13101,directed
667794,13377,directed
934721,13377,directed
14651,13384,directed
70715,13384,directed
136640,13384,directed
144847,13384,directed
180228,13384,directed
234325,13384,directed
629609,13384,directed
664378,13384,directed
686897,13384,directed
765722,13384,directed
804289,13384,directed
814606,13384,directed
868456,13384,directed
934069,13384,directed
944310,13384,directed
31685,13387,directed
66915,13387,directed
96613,13387,directed
117490,13387,directed
130689,13387,directed
133969,13387,directed
137474,13387,directed
147635,13387,directed
159214,13387,directed
166785,13387,directed
174557,13387,directed
182900,13387,directed
184091,13387,directed
204386,13387,directed
248798,13387,directed
270491,13387,directed
285272,13387,directed
294923,13387,directed
307461,13387,directed
359016,13387,directed
359966,13387,directed
688400,13387,directed
791120,13387,directed
812046,13387,directed
816387,13387,directed
855405,13387,directed
936190,13387,directed
962339,13387,directed
31067,13393,directed
59655,13393,directed
128099,13393,directed
316834,13393,directed
414251,13393,directed
477377,13393,directed
677781,13393,directed
766893,13393,directed
772976,13393,directed
814898,13393,directed
15694,13508,directed
29791,13508,directed
29884,13508,directed
31556,13508,directed
36521,13508,directed
51992,13508,directed
66915,13508,directed
79044,13508,directed
112185,13508,directed
130173,13508,directed
145128,13508,directed
212131,13508,directed
219203,13508,directed
240665,13508,directed
325459,13508,directed
326249,13508,directed
357406,13508,directed
379125,13508,directed
393345,13508,directed
564333,13508,directed
575522,13508,directed
631774,13508,directed
754032,13508,directed
755156,13508,directed
793425,13508,directed
815537,13508,directed
895136,13508,directed
899530,13508,directed
954964,13508,directed
532957,13511,directed
608701,13511,directed
797881,13511,directed
10412,13583,directed
21744,13583,directed
31685,13583,directed
66915,13583,directed
103484,13583,directed
130689,13583,directed
209142,13583,directed
379125,13583,directed
600069,13583,directed
631774,13583,directed
740833,13583,directed
774588,13583,directed
848034,13583,directed
894465,13583,directed
987491,13583,directed
31274,13755,directed
199995,13755,directed
253861,13755,directed
300245,13755,directed
404434,13755,directed
685647,13755,directed
798992,13755,directed
140176,14073,directed
61480,14201,directed
131581,14201,directed
162233,14201,directed
379125,14201,directed
631774,14201,directed
781094,14201,directed
855405,14201,directed
111794,14263,directed
161173,14263,directed
162677,14263,directed
175553,14263,directed
211758,14263,directed
227776,14263,directed
398615,14263,directed
607283,14263,directed
32071,14329,directed
98189,14651,directed
112017,14651,directed
193160,14651,directed
380704,14651,directed
409954,14651,directed
549797,14651,directed
747506,14651,directed
796741,14651,directed
814606,14651,directed
848784,14651,directed
857203,14651,directed
5882,14699,directed
44764,14699,directed
75747,14699,directed
97182,14724,directed
307461,14724,directed
936946,14724,directed
3595,14757,directed
5953,14757,directed
31274,14757,directed
76057,14757,directed
79960,14757,directed
81017,14757,directed
84209,14757,directed
139026,14757,directed
150048,14757,directed
199995,14757,directed
203008,14757,directed
246611,14757,directed
303626,14757,directed
346336,14757,directed
424244,14757,directed
446509,14757,directed
675495,14757,directed
685647,14757,directed
798992,14757,directed
825924,14757,directed
887619,14757,directed
78741,14822,directed
128440,14822,directed
128495,14822,directed
170369,14822,directed
182900,14822,directed
325459,14822,directed
745964,14822,directed
758453,14822,directed
891264,14822,directed
923033,14822,directed
16281,14931,directed
58549,14931,directed
133969,14931,directed
165011,14931,directed
279337,14931,directed
112462,14959,directed
7689,15158,directed
49774,15158,directed
61044,15158,directed
96379,15158,directed
127063,15158,directed
134600,15158,directed
319347,15158,directed
467203,15158,directed
767016,15158,directed
866491,15158,directed
69986,15318,directed
72205,15318,directed
81561,15318,directed
117844,15318,directed
144847,15318,directed
159699,15318,directed
170369,15318,directed
184091,15318,directed
200791,15318,directed
294085,15318,directed
334740,15318,directed
396676,15318,directed
410219,15318,directed
629609,15318,directed
637150,15318,directed
664378,15318,directed
745964,15318,directed
806247,15318,directed
816890,15318,directed
944084,15318,directed
14073,15405,directed
484145,15405,directed
16438,15694,directed
19297,15694,directed
41874,15694,directed
51992,15694,directed
64303,15694,directed
73421,15694,directed
100160,15694,directed
131581,15694,directed
154530,15694,directed
180263,15694,directed
219483,15694,directed
290812,15694,directed
314600,15694,directed
325459,15694,directed
343930,15694,directed
379125,15694,directed
475932,15694,directed
478426,15694,directed
485191,15694,directed
501692,15694,directed
569914,15694,directed
590441,15694,directed
631774,15694,directed
684240,15694,directed
754032,15694,directed
755156,15694,directed
764181,15694,directed
790732,15694,directed
866786,15694,directed
939567,15694,directed
78044,15856,directed
238115,15856,directed
316834,15856,directed
622805,15856,directed
5441,16132,directed
9441,16132,directed
75264,16132,directed
105422,16132,directed
134729,16132,directed
165663,16132,directed
357406,16132,directed
420133,16132,directed
446509,16132,directed
490952,16132,directed
673208,16132,directed
820115,16132,directed
825087,16132,directed
863790,16132,directed
279337,16186,directed
290072,16186,directed
411761,16186,directed
572579,16186,directed
802302,16186,directed
43714,16227,directed
38466,16235,directed
31685,16281,directed
44703,16281,directed
66915,16281,directed
96613,16281,directed
130689,16281,directed
133969,16281,directed
153590,16281,directed
166785,16281,directed
179205,16281,directed
204386,16281,directed
232564,16281,directed
270491,16281,directed
295545,16281,directed
359966,16281,directed
379125,16281,directed
626268,16281,directed
696015,16281,directed
888730,16281,directed
29067,16438,directed
100160,16438,directed
314600,16438,directed
346336,16438,directed
418740,16438,directed
423267,16438,directed
483587,16438,directed
490004,16438,directed
582313,16438,directed
799053,16438,directed
840402,16438,directed
47033,16574,directed
129761,16574,directed
301619,16574,directed
334193,16574,directed
378288,16574,directed
642542,16574,directed
798662,16574,directed
131841,16835,directed
608701,16835,directed
172350,16925,directed
793227,16925,directed
93322,16944,directed
138063,16944,directed
160848,16944,directed
328014,16944,directed
641994,16944,directed
751592,16944,directed
785380,16944,directed
790988,16944,directed
836312,16944,directed
12654,17021,directed
61938,17021,directed
98465,17021,directed
106298,17021,directed
138699,17021,directed
199995,17021,directed
203008,17021,directed
246611,17021,directed
263937,17021,directed
540883,17021,directed
574772,17021,directed
771438,17021,directed
817754,17021,directed
845775,17021,directed
864209,17021,directed
13387,17387,directed
41874,17387,directed
70027,17387,directed
104455,17387,directed
120953,17387,directed
501081,17387,directed
564726,17387,directed
784814,17387,directed
936425,17387,directed
40225,17748,directed
361393,17748,directed
418955,17748,directed
491220,17748,directed
575012,17748,directed
597309,17748,directed
801573,17748,directed
806877,17748,directed
830375,17748,directed
927555,17748,directed
33161,17877,directed
78044,17877,directed
128099,17877,directed
238115,17877,directed
316834,17877,directed
361393,17877,directed
414251,17877,directed
467203,17877,directed
590285,17877,directed
607448,17877,directed
622805,17877,directed
677781,17877,directed
754032,17877,directed
766094,17877,directed
821571,17877,directed
944349,17877,directed
857203,17882,directed
79016,17929,directed
162930,17929,directed
164093,17929,directed
165011,17929,directed
185948,17929,directed
260038,17929,directed
368367,17929,directed
378624,17929,directed
29867,17937,directed
171728,17937,directed
273531,17937,directed
314113,17937,directed
325401,17937,directed
81796,18137,directed
119629,18137,directed
290464,18137,directed
396372,18137,directed
490416,18137,directed
764702,18137,directed
845443,18137,directed
305501,18176,directed
103162,18258,directed
213212,18258,directed
290072,18258,directed
302685,18258,directed
316834,18258,directed
384675,18258,directed
500889,18258,directed
594665,18258,directed
597309,18258,directed
802302,18258,directed
821571,18258,directed
834673,18258,directed
927555,18258,directed
489520,18513,directed
98465,18691,directed
446509,18691,directed
671244,18691,directed
766533,18691,directed
771438,18691,directed
78886,18828,directed
80720,18828,directed
137390,18828,directed
260212,18828,directed
482677,18828,directed
564726,18828,directed
567570,18828,directed
789340,18828,directed
831215,18828,directed
895443,18828,directed
899530,18828,directed
617196,18862,directed
6334,18977,directed
38466,18977,directed
53739,18977,directed
70715,18977,directed
98081,18977,directed
106987,18977,directed
131681,18977,directed
165011,18977,directed
174557,18977,directed
314155,18977,directed
330575,18977,directed
344275,18977,directed
642542,18977,directed
745915,18977,directed
753985,18977,directed
754032,18977,directed
792507,18977,directed
794449,18977,directed
796734,18977,directed
822777,18977,directed
864209,18977,directed
771438,19029,directed
988638,19029,directed
136871,19133,directed
144847,19133,directed
346336,19133,directed
685647,19133,directed
754032,19133,directed
13384,19241,directed
14651,19241,directed
98189,19241,directed
132449,19241,directed
136640,19241,directed
159699,19241,directed
175286,19241,directed
232701,19241,directed
234325,19241,directed
362437,19241,directed
389979,19241,directed
409968,19241,directed
490549,19241,directed
671156,19241,directed
686897,19241,directed
815236,19241,directed
837946,19241,directed
838300,19241,directed
944310,19241,directed
52900,19297,directed
66915,19297,directed
87985,19297,directed
131581,19297,directed
204386,19297,directed
209142,19297,directed
270491,19297,directed
274321,19297,directed
379125,19297,directed
631774,19297,directed
754032,19297,directed
814852,19297,directed
823012,19297,directed
939567,19297,directed
3595,19392,directed
19701,19392,directed
34988,19392,directed
44906,19392,directed
46527,19392,directed
139026,19392,directed
154530,19392,directed
188190,19392,directed
199995,19392,directed
219483,19392,directed
346336,19392,directed
357406,19392,directed
423305,19392,directed
531986,19392,directed
572737,19392,directed
577627,19392,directed
633181,19392,directed
751604,19392,directed
755156,19392,directed
798606,19392,directed
806829,19392,directed
179379,19435,directed
188202,19435,directed
396372,19435,directed
66915,19701,directed
127337,19701,directed
130932,19701,directed
175553,19701,directed
224638,19701,directed
233066,19701,directed
307025,19701,directed
317417,19701,directed
354105,19701,directed
359016,19701,directed
379125,19701,directed
504928,19701,directed
531986,19701,directed
562304,19701,directed
614339,19701,directed
763301,19701,directed
840402,19701,directed
866786,19701,directed
608945,19740,directed
680476,19831,directed
781370,19831,directed
127337,19892,directed
128440,19892,directed
137390,19892,directed
154998,19892,directed
183858,19892,directed
232564,19892,directed
257544,19892,directed
290812,19892,directed
346336,19892,directed
531986,19892,directed
617196,19892,directed
749734,19892,directed
754032,19892,directed
809266,19892,directed
842802,19892,directed
852855,19892,directed
855423,19892,directed
895443,19892,directed
341422,19953,directed
591104,19953,directed
607283,19953,directed
688804,19953,directed
675495,20028,directed
3829,20050,directed
28166,20050,directed
59156,20050,directed
76881,20050,directed
120521,20050,directed
176936,20050,directed
238495,20050,directed
276085,20050,directed
489303,20050,directed
608701,20050,directed
617844,20050,directed
754032,20050,directed
815039,20050,directed
894465,20050,directed
942529,20050,directed
81194,20278,directed
100854,20278,directed
108826,20278,directed
144458,20278,directed
148477,20278,directed
164594,20278,directed
168958,20278,directed
198162,20278,directed
212612,20278,directed
233228,20278,directed
238115,20278,directed
316834,20278,directed
457807,20278,directed
607448,20278,directed
821571,20278,directed
838195,20278,directed
611877,20319,directed
744548,20319,directed
750203,20319,directed
74970,20403,directed
246022,20403,directed
287604,20403,directed
120010,20729,directed
163420,20729,directed
206407,20729,directed
475334,20729,directed
479350,20729,directed
486047,20729,directed
604075,20729,directed
785380,20729,directed
786613,20729,directed
796045,20729,directed
883318,20729,directed
1416172,20729,directed
16944,20740,directed
129817,20740,directed
138063,20740,directed
165830,20740,directed
178014,20740,directed
181376,20740,directed
328014,20740,directed
352171,20740,directed
603590,20740,directed
681340,20740,directed
697350,20740,directed
751592,20740,directed
788508,20740,directed
798477,20740,directed
13384,20760,directed
14651,20760,directed
80780,20760,directed
85410,20760,directed
96613,20760,directed
136640,20760,directed
142050,20760,directed
159214,20760,directed
174122,20760,directed
175286,20760,directed
177060,20760,directed
180228,20760,directed
184502,20760,directed
214162,20760,directed
234325,20760,directed
285272,20760,directed
307875,20760,directed
345355,20760,directed
362437,20760,directed
396676,20760,directed
409968,20760,directed
607448,20760,directed
792507,20760,directed
838300,20760,directed
852997,20760,directed
858375,20760,directed
927555,20760,directed
934069,20760,directed
69534,20812,directed
84209,20812,directed
193320,20812,directed
222436,20812,directed
251595,20812,directed
260206,20812,directed
263937,20812,directed
297702,20812,directed
604852,20812,directed
51992,20862,directed
52900,20862,directed
100160,20862,directed
520975,20862,directed
577627,20862,directed
754032,20862,directed
680522,20919,directed
97529,20971,directed
226380,20971,directed
423829,20971,directed
680003,20971,directed
789775,20971,directed
798326,20971,directed
800100,20971,directed
928942,20971,directed
961688,20971,directed
189644,20984,directed
13384,21008,directed
96613,21008,directed
117844,21008,directed
170369,21008,directed
177060,21008,directed
182900,21008,directed
200791,21008,directed
211758,21008,directed
234325,21008,directed
281254,21008,directed
393789,21008,directed
510805,21008,directed
530745,21008,directed
549797,21008,directed
583959,21008,directed
592954,21008,directed
612716,21008,directed
681171,21008,directed
787960,21008,directed
816890,21008,directed
936206,21008,directed
941579,21008,directed
5953,21009,directed
7230,21009,directed
55128,21009,directed
89021,21009,directed
139026,21009,directed
140816,21009,directed
187478,21009,directed
240865,21009,directed
252184,21009,directed
307135,21009,directed
337631,21009,directed
354105,21009,directed
467853,21009,directed
604852,21009,directed
749970,21009,directed
767068,21009,directed
894465,21009,directed
144847,21292,directed
297894,21292,directed
887348,21292,directed
936206,21292,directed
40225,21334,directed
594665,21334,directed
597309,21334,directed
661524,21334,directed
802302,21334,directed
51376,21492,directed
76057,21492,directed
162233,21492,directed
167287,21492,directed
194703,21492,directed
325459,21492,directed
631774,21492,directed
756656,21492,directed
59537,21578,directed
91650,21578,directed
139026,21578,directed
191063,21578,directed
287259,21578,directed
308932,21578,directed
346336,21578,directed
349157,21578,directed
354105,21578,directed
446509,21578,directed
671244,21578,directed
672011,21578,directed
771438,21578,directed
46794,21670,directed
99246,21670,directed
162197,21670,directed
