Source,Target,Type,Id,Label,timeset,Weight
129,3779,directed,,,,
130,3779,directed,,,,
131,3779,directed,,,,
132,1432,directed,,,,
133,1432,directed,,,,
134,1432,directed,,,,
135,3780,directed,,,,
136,3780,directed,,,,
137,3780,directed,,,,
138,3780,directed,,,,
139,3619,directed,,,,
118,3619,directed,,,,
140,683,directed,,,,
141,683,directed,,,,
142,683,directed,,,,
143,683,directed,,,,
64,683,directed,,,,
144,2380,directed,,,,
145,2380,directed,,,,
146,2380,directed,,,,
147,2380,directed,,,,
148,2380,directed,,,,
149,2380,directed,,,,
150,2380,directed,,,,
151,2380,directed,,,,
152,2594,directed,,,,
153,2594,directed,,,,
154,2594,directed,,,,
155,2594,directed,,,,
156,2594,directed,,,,
157,2594,directed,,,,
158,2594,directed,,,,
159,2594,directed,,,,
160,2594,directed,,,,
161,2594,directed,,,,
162,2594,directed,,,,
163,2594,directed,,,,
164,2594,directed,,,,
165,2594,directed,,,,
166,2594,directed,,,,
167,2594,directed,,,,
168,2594,directed,,,,
169,864,directed,,,,
170,864,directed,,,,
144,3781,directed,,,,
22,2232,directed,,,,
171,2232,directed,,,,
172,2232,directed,,,,
173,3782,directed,,,,
174,3783,directed,,,,
175,1079,directed,,,,
176,1079,directed,,,,
177,1079,directed,,,,
116,1079,directed,,,,
178,1079,directed,,,,
11,1079,directed,,,,
179,1079,directed,,,,
180,1079,directed,,,,
181,1079,directed,,,,
182,3784,directed,,,,
183,3784,directed,,,,
184,2421,directed,,,,
114,2421,directed,,,,
185,2421,directed,,,,
186,2421,directed,,,,
187,2421,directed,,,,
188,2421,directed,,,,
189,2421,directed,,,,
190,2421,directed,,,,
116,2421,directed,,,,
191,2421,directed,,,,
192,2421,directed,,,,
193,2421,directed,,,,
194,2421,directed,,,,
119,2421,directed,,,,
195,2421,directed,,,,
196,2421,directed,,,,
197,2421,directed,,,,
198,2421,directed,,,,
199,2421,directed,,,,
200,2421,directed,,,,
201,2421,directed,,,,
202,2421,directed,,,,
203,726,directed,,,,
47,726,directed,,,,
22,726,directed,,,,
204,726,directed,,,,
205,726,directed,,,,
206,726,directed,,,,
125,726,directed,,,,
207,726,directed,,,,
208,726,directed,,,,
209,726,directed,,,,
210,726,directed,,,,
211,726,directed,,,,
212,726,directed,,,,
213,726,directed,,,,
214,726,directed,,,,
28,726,directed,,,,
215,726,directed,,,,
216,726,directed,,,,
217,726,directed,,,,
30,726,directed,,,,
218,726,directed,,,,
62,726,directed,,,,
219,726,directed,,,,
220,726,directed,,,,
221,726,directed,,,,
65,726,directed,,,,
222,726,directed,,,,
223,726,directed,,,,
224,2536,directed,,,,
203,2536,directed,,,,
24,2536,directed,,,,
225,2536,directed,,,,
208,2536,directed,,,,
226,2536,directed,,,,
227,2536,directed,,,,
228,2536,directed,,,,
229,2536,directed,,,,
214,2536,directed,,,,
28,2536,directed,,,,
230,2536,directed,,,,
231,2536,directed,,,,
30,2536,directed,,,,
31,2536,directed,,,,
64,2536,directed,,,,
65,2536,directed,,,,
33,2536,directed,,,,
35,2536,directed,,,,
232,2536,directed,,,,
37,2536,directed,,,,
2,678,directed,,,,
182,678,directed,,,,
233,678,directed,,,,
234,678,directed,,,,
54,678,directed,,,,
128,678,directed,,,,
183,678,directed,,,,
64,678,directed,,,,
235,678,directed,,,,
236,678,directed,,,,
131,678,directed,,,,
237,42,directed,,,,
238,42,directed,,,,
98,42,directed,,,,
239,42,directed,,,,
2,42,directed,,,,
240,42,directed,,,,
182,42,directed,,,,
241,42,directed,,,,
242,42,directed,,,,
243,42,directed,,,,
50,42,directed,,,,
140,42,directed,,,,
158,42,directed,,,,
244,42,directed,,,,
245,42,directed,,,,
108,42,directed,,,,
54,42,directed,,,,
128,42,directed,,,,
246,42,directed,,,,
60,42,directed,,,,
183,42,directed,,,,
101,42,directed,,,,
64,42,directed,,,,
66,42,directed,,,,
131,42,directed,,,,
247,2692,directed,,,,
2,2692,directed,,,,
248,2692,directed,,,,
249,2692,directed,,,,
105,2692,directed,,,,
250,2692,directed,,,,
251,2692,directed,,,,
252,3344,directed,,,,
253,3344,directed,,,,
254,3344,directed,,,,
255,3344,directed,,,,
256,3344,directed,,,,
257,3344,directed,,,,
258,3214,directed,,,,
259,3214,directed,,,,
260,2816,directed,,,,
261,2816,directed,,,,
262,2816,directed,,,,
263,2816,directed,,,,
2,2816,directed,,,,
264,2816,directed,,,,
265,2816,directed,,,,
266,2816,directed,,,,
267,2816,directed,,,,
268,2816,directed,,,,
269,2816,directed,,,,
270,2816,directed,,,,
271,2816,directed,,,,
272,2816,directed,,,,
273,2816,directed,,,,
274,2816,directed,,,,
275,2816,directed,,,,
276,2323,directed,,,,
98,2323,directed,,,,
277,2323,directed,,,,
278,2323,directed,,,,
279,2323,directed,,,,
280,2323,directed,,,,
281,2323,directed,,,,
282,2323,directed,,,,
283,2323,directed,,,,
284,2323,directed,,,,
285,2323,directed,,,,
286,2323,directed,,,,
287,2323,directed,,,,
64,2323,directed,,,,
288,2323,directed,,,,
289,2323,directed,,,,
290,247,directed,,,,
291,247,directed,,,,
292,247,directed,,,,
293,247,directed,,,,
294,247,directed,,,,
295,247,directed,,,,
296,247,directed,,,,
297,247,directed,,,,
298,247,directed,,,,
299,247,directed,,,,
300,247,directed,,,,
301,247,directed,,,,
105,247,directed,,,,
302,3383,directed,,,,
303,3785,directed,,,,
304,3785,directed,,,,
305,3785,directed,,,,
306,3096,directed,,,,
307,3096,directed,,,,
308,3096,directed,,,,
309,3096,directed,,,,
310,3308,directed,,,,
311,3786,directed,,,,
312,3786,directed,,,,
313,3786,directed,,,,
314,3786,directed,,,,
315,3787,directed,,,,
316,3787,directed,,,,
317,3787,directed,,,,
318,935,directed,,,,
319,935,directed,,,,
122,935,directed,,,,
49,935,directed,,,,
124,935,directed,,,,
320,935,directed,,,,
126,935,directed,,,,
321,935,directed,,,,
54,935,directed,,,,
322,935,directed,,,,
64,935,directed,,,,
323,935,directed,,,,
324,935,directed,,,,
325,935,directed,,,,
326,2946,directed,,,,
327,2946,directed,,,,
328,535,directed,,,,
329,535,directed,,,,
330,535,directed,,,,
331,535,directed,,,,
332,535,directed,,,,
333,535,directed,,,,
334,535,directed,,,,
193,535,directed,,,,
335,535,directed,,,,
336,535,directed,,,,
337,535,directed,,,,
338,114,directed,,,,
339,114,directed,,,,
340,114,directed,,,,
341,114,directed,,,,
116,114,directed,,,,
194,114,directed,,,,
342,114,directed,,,,
343,114,directed,,,,
344,114,directed,,,,
345,114,directed,,,,
346,114,directed,,,,
347,114,directed,,,,
179,114,directed,,,,
348,114,directed,,,,
349,114,directed,,,,
120,114,directed,,,,
350,114,directed,,,,
351,114,directed,,,,
352,2266,directed,,,,
353,2266,directed,,,,
354,2266,directed,,,,
233,2266,directed,,,,
355,2266,directed,,,,
356,2266,directed,,,,
236,2266,directed,,,,
357,456,directed,,,,
358,456,directed,,,,
86,456,directed,,,,
24,456,directed,,,,
49,456,directed,,,,
225,456,directed,,,,
108,456,directed,,,,
27,456,directed,,,,
28,456,directed,,,,
29,456,directed,,,,
215,456,directed,,,,
230,456,directed,,,,
30,456,directed,,,,
65,456,directed,,,,
359,456,directed,,,,
37,456,directed,,,,
38,456,directed,,,,
224,457,directed,,,,
42,457,directed,,,,
45,457,directed,,,,
47,457,directed,,,,
205,457,directed,,,,
241,457,directed,,,,
49,457,directed,,,,
360,457,directed,,,,
125,457,directed,,,,
208,457,directed,,,,
53,457,directed,,,,
55,457,directed,,,,
361,457,directed,,,,
28,457,directed,,,,
58,457,directed,,,,
216,457,directed,,,,
60,457,directed,,,,
61,457,directed,,,,
63,457,directed,,,,
362,457,directed,,,,
220,457,directed,,,,
65,457,directed,,,,
363,457,directed,,,,
17,457,directed,,,,
364,3788,directed,,,,
365,3546,directed,,,,
366,3546,directed,,,,
367,3546,directed,,,,
368,3546,directed,,,,
369,3546,directed,,,,
370,3546,directed,,,,
371,3546,directed,,,,
372,3546,directed,,,,
373,3546,directed,,,,
374,3546,directed,,,,
196,3546,directed,,,,
375,3546,directed,,,,
376,3546,directed,,,,
377,3546,directed,,,,
378,3546,directed,,,,
379,3546,directed,,,,
380,3546,directed,,,,
381,3546,directed,,,,
201,3546,directed,,,,
382,3068,directed,,,,
383,3068,directed,,,,
384,3068,directed,,,,
385,3068,directed,,,,
386,1888,directed,,,,
2,1888,directed,,,,
152,1888,directed,,,,
387,1888,directed,,,,
388,1888,directed,,,,
108,1888,directed,,,,
55,1888,directed,,,,
389,1888,directed,,,,
390,1888,directed,,,,
12,1888,directed,,,,
391,1888,directed,,,,
392,1888,directed,,,,
64,1888,directed,,,,
393,1888,directed,,,,
166,1888,directed,,,,
67,1888,directed,,,,
17,1888,directed,,,,
394,1888,directed,,,,
395,3789,directed,,,,
396,3789,directed,,,,
397,3789,directed,,,,
30,3789,directed,,,,
398,3789,directed,,,,
399,3789,directed,,,,
400,3789,directed,,,,
401,3789,directed,,,,
402,3790,directed,,,,
403,3790,directed,,,,
231,3790,directed,,,,
136,3790,directed,,,,
359,3790,directed,,,,
404,3790,directed,,,,
400,3790,directed,,,,
401,3790,directed,,,,
138,3790,directed,,,,
405,68,directed,,,,
406,68,directed,,,,
175,68,directed,,,,
69,68,directed,,,,
407,68,directed,,,,
408,68,directed,,,,
115,68,directed,,,,
409,68,directed,,,,
116,68,directed,,,,
410,68,directed,,,,
411,68,directed,,,,
178,68,directed,,,,
412,68,directed,,,,
413,68,directed,,,,
414,68,directed,,,,
415,68,directed,,,,
416,68,directed,,,,
342,68,directed,,,,
417,68,directed,,,,
418,68,directed,,,,
419,68,directed,,,,
420,68,directed,,,,
421,68,directed,,,,
422,68,directed,,,,
121,68,directed,,,,
423,68,directed,,,,
182,1339,directed,,,,
424,1339,directed,,,,
243,1339,directed,,,,
248,1339,directed,,,,
425,1339,directed,,,,
64,1339,directed,,,,
67,1339,directed,,,,
426,3649,directed,,,,
427,3649,directed,,,,
428,3791,directed,,,,
429,3791,directed,,,,
430,3791,directed,,,,
431,3791,directed,,,,
432,3791,directed,,,,
433,3791,directed,,,,
434,3791,directed,,,,
435,3791,directed,,,,
436,3791,directed,,,,
437,3791,directed,,,,
438,3791,directed,,,,
439,3791,directed,,,,
440,3791,directed,,,,
441,3791,directed,,,,
442,3791,directed,,,,
23,727,directed,,,,
443,727,directed,,,,
444,727,directed,,,,
445,727,directed,,,,
231,727,directed,,,,
446,727,directed,,,,
232,727,directed,,,,
182,3792,directed,,,,
447,3792,directed,,,,
448,3792,directed,,,,
183,3792,directed,,,,
131,3792,directed,,,,
18,3792,directed,,,,
449,993,directed,,,,
450,993,directed,,,,
297,993,directed,,,,
451,993,directed,,,,
452,993,directed,,,,
453,993,directed,,,,
454,993,directed,,,,
455,993,directed,,,,
456,3793,directed,,,,
457,3793,directed,,,,
358,3793,directed,,,,
23,3793,directed,,,,
24,3793,directed,,,,
458,3793,directed,,,,
231,3793,directed,,,,
459,3793,directed,,,,
460,3793,directed,,,,
461,3793,directed,,,,
443,3794,directed,,,,
444,3794,directed,,,,
461,3794,directed,,,,
37,3794,directed,,,,
462,648,directed,,,,
365,648,directed,,,,
463,648,directed,,,,
464,648,directed,,,,
465,648,directed,,,,
2,648,directed,,,,
466,648,directed,,,,
279,648,directed,,,,
467,648,directed,,,,
368,648,directed,,,,
468,648,directed,,,,
469,648,directed,,,,
470,648,directed,,,,
471,648,directed,,,,
472,648,directed,,,,
473,648,directed,,,,
474,648,directed,,,,
475,648,directed,,,,
112,648,directed,,,,
476,1246,directed,,,,
477,1246,directed,,,,
478,1246,directed,,,,
479,1246,directed,,,,
480,1246,directed,,,,
193,1246,directed,,,,
481,1246,directed,,,,
482,1246,directed,,,,
483,1246,directed,,,,
348,1246,directed,,,,
484,1246,directed,,,,
485,1246,directed,,,,
486,2913,directed,,,,
22,2913,directed,,,,
487,2913,directed,,,,
488,2913,directed,,,,
361,2913,directed,,,,
58,2913,directed,,,,
64,2913,directed,,,,
19,2913,directed,,,,
489,3489,directed,,,,
490,3489,directed,,,,
491,3489,directed,,,,
11,3489,directed,,,,
492,3489,directed,,,,
493,3489,directed,,,,
494,3795,directed,,,,
495,3795,directed,,,,
496,3795,directed,,,,
497,3795,directed,,,,
498,3795,directed,,,,
499,3795,directed,,,,
500,3795,directed,,,,
501,3795,directed,,,,
502,3795,directed,,,,
503,3795,directed,,,,
504,3795,directed,,,,
505,3795,directed,,,,
506,3796,directed,,,,
507,2352,directed,,,,
96,2352,directed,,,,
508,3797,directed,,,,
509,3798,directed,,,,
510,3798,directed,,,,
511,3798,directed,,,,
472,3798,directed,,,,
54,3798,directed,,,,
512,3798,directed,,,,
513,3798,directed,,,,
514,3798,directed,,,,
515,3798,directed,,,,
516,3798,directed,,,,
23,3799,directed,,,,
306,276,directed,,,,
517,276,directed,,,,
2,276,directed,,,,
518,276,directed,,,,
297,276,directed,,,,
126,276,directed,,,,
519,276,directed,,,,
101,276,directed,,,,
286,276,directed,,,,
520,276,directed,,,,
64,276,directed,,,,
521,276,directed,,,,
522,276,directed,,,,
189,405,directed,,,,
78,405,directed,,,,
178,405,directed,,,,
523,405,directed,,,,
524,405,directed,,,,
525,405,directed,,,,
179,405,directed,,,,
526,405,directed,,,,
527,405,directed,,,,
528,405,directed,,,,
529,1791,directed,,,,
280,1791,directed,,,,
530,1791,directed,,,,
531,1791,directed,,,,
532,1791,directed,,,,
533,1791,directed,,,,
534,1791,directed,,,,
54,1791,directed,,,,
535,3120,directed,,,,
536,3120,directed,,,,
537,3120,directed,,,,
538,3120,directed,,,,
416,3120,directed,,,,
539,3120,directed,,,,
344,3120,directed,,,,
540,3120,directed,,,,
541,3120,directed,,,,
542,3120,directed,,,,
350,3120,directed,,,,
543,1558,directed,,,,
544,1558,directed,,,,
496,1558,directed,,,,
545,1558,directed,,,,
500,1558,directed,,,,
546,1558,directed,,,,
547,1558,directed,,,,
548,1558,directed,,,,
549,1558,directed,,,,
503,1558,directed,,,,
505,1558,directed,,,,
306,462,directed,,,,
2,462,directed,,,,
550,462,directed,,,,
128,462,directed,,,,
246,462,directed,,,,
551,462,directed,,,,
552,462,directed,,,,
553,462,directed,,,,
554,462,directed,,,,
555,462,directed,,,,
64,462,directed,,,,
556,462,directed,,,,
178,3449,directed,,,,
179,3449,directed,,,,
348,3449,directed,,,,
349,3449,directed,,,,
144,3800,directed,,,,
557,3800,directed,,,,
558,3801,directed,,,,
266,3801,directed,,,,
559,2551,directed,,,,
560,2551,directed,,,,
561,2551,directed,,,,
562,2551,directed,,,,
563,2551,directed,,,,
564,2551,directed,,,,
42,43,directed,,,,
565,43,directed,,,,
47,43,directed,,,,
204,43,directed,,,,
566,43,directed,,,,
49,43,directed,,,,
567,43,directed,,,,
568,43,directed,,,,
207,43,directed,,,,
208,43,directed,,,,
569,43,directed,,,,
210,43,directed,,,,
62,43,directed,,,,
219,43,directed,,,,
96,43,directed,,,,
570,43,directed,,,,
65,43,directed,,,,
571,43,directed,,,,
222,43,directed,,,,
2,2440,directed,,,,
572,3802,directed,,,,
573,3802,directed,,,,
6,3802,directed,,,,
574,3802,directed,,,,
51,3802,directed,,,,
575,3802,directed,,,,
576,3802,directed,,,,
577,3802,directed,,,,
481,3802,directed,,,,
482,3802,directed,,,,
578,3802,directed,,,,
16,3802,directed,,,,
579,3802,directed,,,,
17,3802,directed,,,,
580,3802,directed,,,,
581,3803,directed,,,,
582,3803,directed,,,,
583,3803,directed,,,,
584,3803,directed,,,,
585,3804,directed,,,,
586,3804,directed,,,,
243,3804,directed,,,,
587,3804,directed,,,,
588,3804,directed,,,,
589,3804,directed,,,,
482,3804,directed,,,,
590,3804,directed,,,,
591,3804,directed,,,,
592,3804,directed,,,,
593,2683,directed,,,,
594,2683,directed,,,,
595,72,directed,,,,
596,72,directed,,,,
77,72,directed,,,,
597,72,directed,,,,
234,72,directed,,,,
80,72,directed,,,,
598,72,directed,,,,
599,72,directed,,,,
527,72,directed,,,,
600,72,directed,,,,
83,72,directed,,,,
601,72,directed,,,,
602,72,directed,,,,
603,72,directed,,,,
604,72,directed,,,,
605,762,directed,,,,
2,762,directed,,,,
606,762,directed,,,,
607,762,directed,,,,
282,762,directed,,,,
113,762,directed,,,,
242,762,directed,,,,
608,762,directed,,,,
609,762,directed,,,,
610,762,directed,,,,
611,762,directed,,,,
612,762,directed,,,,
613,762,directed,,,,
614,762,directed,,,,
615,762,directed,,,,
434,762,directed,,,,
616,762,directed,,,,
617,762,directed,,,,
471,762,directed,,,,
618,762,directed,,,,
619,762,directed,,,,
620,762,directed,,,,
621,762,directed,,,,
622,762,directed,,,,
623,762,directed,,,,
624,762,directed,,,,
528,762,directed,,,,
625,762,directed,,,,
626,365,directed,,,,
366,365,directed,,,,
368,365,directed,,,,
193,365,directed,,,,
372,365,directed,,,,
373,365,directed,,,,
627,365,directed,,,,
628,365,directed,,,,
629,365,directed,,,,
630,365,directed,,,,
631,1323,directed,,,,
632,1323,directed,,,,
633,1323,directed,,,,
634,1323,directed,,,,
635,1323,directed,,,,
263,1323,directed,,,,
2,1323,directed,,,,
636,1323,directed,,,,
637,1323,directed,,,,
265,1323,directed,,,,
638,1323,directed,,,,
639,1323,directed,,,,
403,1323,directed,,,,
640,1323,directed,,,,
388,1323,directed,,,,
641,1323,directed,,,,
228,1323,directed,,,,
55,1323,directed,,,,
447,1323,directed,,,,
448,1323,directed,,,,
642,1323,directed,,,,
554,1323,directed,,,,
64,1323,directed,,,,
15,1323,directed,,,,
643,1323,directed,,,,
644,1323,directed,,,,
17,1323,directed,,,,
18,1323,directed,,,,
645,1323,directed,,,,
169,1823,directed,,,,
646,1823,directed,,,,
647,1823,directed,,,,
648,3805,directed,,,,
649,3805,directed,,,,
605,3805,directed,,,,
2,3805,directed,,,,
650,3805,directed,,,,
282,3805,directed,,,,
320,3805,directed,,,,
55,3805,directed,,,,
651,3805,directed,,,,
554,3805,directed,,,,
508,3805,directed,,,,
652,3805,directed,,,,
653,3805,directed,,,,
131,3805,directed,,,,
275,3805,directed,,,,
654,3806,directed,,,,
655,3806,directed,,,,
656,3806,directed,,,,
589,3806,directed,,,,
657,3806,directed,,,,
287,3806,directed,,,,
658,3806,directed,,,,
659,707,directed,,,,
660,3568,directed,,,,
661,3568,directed,,,,
662,3568,directed,,,,
55,3568,directed,,,,
554,3568,directed,,,,
663,3568,directed,,,,
624,3568,directed,,,,
664,3203,directed,,,,
665,3203,directed,,,,
293,3203,directed,,,,
253,3203,directed,,,,
297,3203,directed,,,,
666,3203,directed,,,,
667,3203,directed,,,,
668,3203,directed,,,,
669,3807,directed,,,,
670,595,directed,,,,
93,595,directed,,,,
671,595,directed,,,,
672,595,directed,,,,
81,595,directed,,,,
673,595,directed,,,,
674,595,directed,,,,
675,595,directed,,,,
601,595,directed,,,,
676,595,directed,,,,
677,595,directed,,,,
678,3808,directed,,,,
679,3808,directed,,,,
680,3808,directed,,,,
681,3398,directed,,,,
471,3398,directed,,,,
682,3398,directed,,,,
683,3809,directed,,,,
42,3809,directed,,,,
654,3809,directed,,,,
240,3809,directed,,,,
684,3809,directed,,,,
586,3809,directed,,,,
47,3809,directed,,,,
49,3809,directed,,,,
685,3809,directed,,,,
655,3809,directed,,,,
686,3809,directed,,,,
207,3809,directed,,,,
687,3809,directed,,,,
108,3809,directed,,,,
214,3809,directed,,,,
28,3809,directed,,,,
590,3809,directed,,,,
287,3809,directed,,,,
658,3809,directed,,,,
688,3809,directed,,,,
689,3809,directed,,,,
264,3810,directed,,,,
690,3810,directed,,,,
691,3810,directed,,,,
154,3810,directed,,,,
612,3810,directed,,,,
388,3810,directed,,,,
474,3810,directed,,,,
692,3810,directed,,,,
693,3810,directed,,,,
694,3810,directed,,,,
695,3811,directed,,,,
696,3811,directed,,,,
113,3811,directed,,,,
189,3811,directed,,,,
191,3811,directed,,,,
122,3812,directed,,,,
114,3315,directed,,,,
697,3315,directed,,,,
698,3315,directed,,,,
699,3315,directed,,,,
536,3315,directed,,,,
187,3315,directed,,,,
118,3315,directed,,,,
700,3315,directed,,,,
542,3315,directed,,,,
199,3315,directed,,,,
701,494,directed,,,,
702,494,directed,,,,
495,494,directed,,,,
543,494,directed,,,,
597,494,directed,,,,
703,494,directed,,,,
154,494,directed,,,,
613,494,directed,,,,
544,494,directed,,,,
704,494,directed,,,,
364,494,directed,,,,
500,494,directed,,,,
546,494,directed,,,,
598,494,directed,,,,
705,494,directed,,,,
599,494,directed,,,,
474,494,directed,,,,
706,494,directed,,,,
166,494,directed,,,,
505,494,directed,,,,
707,3813,directed,,,,
417,3813,directed,,,,
708,631,directed,,,,
133,631,directed,,,,
98,631,directed,,,,
263,631,directed,,,,
709,631,directed,,,,
710,631,directed,,,,
182,631,directed,,,,
661,631,directed,,,,
711,631,directed,,,,
712,631,directed,,,,
575,631,directed,,,,
576,631,directed,,,,
713,631,directed,,,,
388,631,directed,,,,
714,631,directed,,,,
55,631,directed,,,,
715,631,directed,,,,
716,631,directed,,,,
717,631,directed,,,,
718,631,directed,,,,
719,631,directed,,,,
427,631,directed,,,,
554,631,directed,,,,
720,631,directed,,,,
64,631,directed,,,,
15,631,directed,,,,
721,631,directed,,,,
722,631,directed,,,,
723,631,directed,,,,
724,631,directed,,,,
725,3814,directed,,,,
480,3814,directed,,,,
193,3814,directed,,,,
198,3814,directed,,,,
726,3264,directed,,,,
727,3264,directed,,,,
21,3264,directed,,,,
205,3264,directed,,,,
24,3264,directed,,,,
567,3264,directed,,,,
228,3264,directed,,,,
445,3264,directed,,,,
28,3264,directed,,,,
215,3264,directed,,,,
219,3264,directed,,,,
446,3264,directed,,,,
36,3264,directed,,,,
37,3264,directed,,,,
191,3629,directed,,,,
192,3629,directed,,,,
195,3629,directed,,,,
728,3629,directed,,,,
120,3629,directed,,,,
277,3815,directed,,,,
729,3816,directed,,,,
605,695,directed,,,,
730,695,directed,,,,
2,695,directed,,,,
606,695,directed,,,,
282,695,directed,,,,
113,695,directed,,,,
731,695,directed,,,,
610,695,directed,,,,
732,695,directed,,,,
614,695,directed,,,,
733,695,directed,,,,
434,695,directed,,,,
734,695,directed,,,,
619,695,directed,,,,
55,695,directed,,,,
735,695,directed,,,,
736,695,directed,,,,
737,695,directed,,,,
738,708,directed,,,,
182,708,directed,,,,
713,708,directed,,,,
108,708,directed,,,,
361,708,directed,,,,
739,708,directed,,,,
740,708,directed,,,,
58,708,directed,,,,
741,708,directed,,,,
235,708,directed,,,,
67,708,directed,,,,
742,3602,directed,,,,
743,3602,directed,,,,
744,3602,directed,,,,
745,3602,directed,,,,
8,3602,directed,,,,
101,3602,directed,,,,
746,3602,directed,,,,
747,237,directed,,,,
646,237,directed,,,,
562,3817,directed,,,,
748,3817,directed,,,,
749,893,directed,,,,
750,893,directed,,,,
751,893,directed,,,,
752,893,directed,,,,
753,893,directed,,,,
754,893,directed,,,,
755,893,directed,,,,
149,893,directed,,,,
756,893,directed,,,,
43,3818,directed,,,,
45,3818,directed,,,,
204,3818,directed,,,,
566,3818,directed,,,,
243,3818,directed,,,,
655,3818,directed,,,,
686,3818,directed,,,,
207,3818,directed,,,,
757,3818,directed,,,,
758,3818,directed,,,,
61,3818,directed,,,,
65,3818,directed,,,,
759,3818,directed,,,,
760,3818,directed,,,,
761,3818,directed,,,,
762,2279,directed,,,,
98,2279,directed,,,,
763,2279,directed,,,,
764,2279,directed,,,,
765,2279,directed,,,,
766,2279,directed,,,,
767,2279,directed,,,,
768,2279,directed,,,,
274,2279,directed,,,,
769,1165,directed,,,,
194,1165,directed,,,,
770,1165,directed,,,,
771,1165,directed,,,,
772,1165,directed,,,,
773,1165,directed,,,,
774,1165,directed,,,,
775,1165,directed,,,,
776,1165,directed,,,,
201,1165,directed,,,,
777,2258,directed,,,,
725,2258,directed,,,,
368,2258,directed,,,,
480,2258,directed,,,,
193,2258,directed,,,,
194,2258,directed,,,,
372,2258,directed,,,,
700,2258,directed,,,,
778,2258,directed,,,,
779,2258,directed,,,,
198,2258,directed,,,,
627,2258,directed,,,,
64,2258,directed,,,,
780,2258,directed,,,,
324,2258,directed,,,,
781,2258,directed,,,,
677,3819,directed,,,,
291,1343,directed,,,,
782,1343,directed,,,,
783,1343,directed,,,,
189,1343,directed,,,,
784,1343,directed,,,,
785,1343,directed,,,,
786,1343,directed,,,,
787,1343,directed,,,,
788,3386,directed,,,,
789,3386,directed,,,,
790,3386,directed,,,,
791,3386,directed,,,,
523,3386,directed,,,,
792,2838,directed,,,,
793,2838,directed,,,,
794,2838,directed,,,,
302,2838,directed,,,,
452,2838,directed,,,,
795,2838,directed,,,,
